Team,Game,Date,Home,Opponent,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoalsPCT,X3PointShots,X3PointShotsAttempted,X3PointShotsPCT,FreeThrows,FreeThrowsAttempted,FreeThrowsPCT,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,OppFieldGoals,OppFieldGoalsAttempted,OppFieldGoalsPCT,Opp3PointShots,Opp3PointShotsAttempted,Opp3PointShotsPCT,OppFreeThrows,OppFreeThrowsAttempted,OppFreeThrowsPCT,OppOffRebounds,OppTotalRebounds,OppAssists,OppSteals,OppBlocks,OppTurnovers,OppTotalFouls
CLE,1,10/27/2015,Away,CHI,L,95,97,38,94,0.404,9,29,0.31,10,17,0.588,11,50,26,5,7,10,21,37,87,0.425,7,19,0.368,16,23,0.696,7,47,13,6,10,13,22
CLE,2,10/28/2015,Away,MEM,W,106,76,41,84,0.488,13,29,0.448,11,17,0.647,12,54,29,7,2,19,25,29,82,0.354,2,16,0.125,16,22,0.727,11,40,15,8,3,16,18
CLE,3,10/30/2015,Home,MIA,W,102,92,39,86,0.453,6,25,0.24,18,21,0.857,14,49,25,4,4,11,19,33,77,0.429,6,21,0.286,20,22,0.909,6,38,21,5,7,13,20
CLE,4,11/2/2015,Away,PHI,W,107,100,42,81,0.519,8,22,0.364,15,20,0.75,7,43,28,5,9,16,19,38,85,0.447,7,24,0.292,17,23,0.739,9,37,22,7,5,13,18
CLE,5,11/4/2015,Home,NYK,W,96,86,33,83,0.398,7,27,0.259,23,32,0.719,9,48,21,5,2,11,12,33,84,0.393,8,24,0.333,12,15,0.8,9,40,16,6,7,12,23
CLE,6,11/6/2015,Home,PHI,W,108,102,45,88,0.511,10,26,0.385,8,12,0.667,11,45,29,9,0,17,20,41,79,0.519,10,23,0.435,10,15,0.667,7,38,23,9,4,16,18
CLE,7,11/8/2015,Home,IND,W,101,97,38,83,0.458,8,24,0.333,17,25,0.68,11,48,25,5,4,10,20,39,90,0.433,6,18,0.333,13,19,0.684,12,47,22,5,4,7,20
CLE,8,11/10/2015,Home,UTA,W,118,114,37,74,0.5,11,24,0.458,33,43,0.767,11,35,24,9,6,16,21,40,82,0.488,10,22,0.455,24,28,0.857,13,37,30,11,0,16,35
CLE,9,11/13/2015,Away,NYK,W,90,84,33,78,0.423,6,28,0.214,18,31,0.581,12,49,12,6,1,12,19,29,79,0.367,9,27,0.333,17,21,0.81,10,46,16,7,4,14,26
CLE,10,11/14/2015,Away,MIL,L,105,108,37,91,0.407,14,38,0.368,17,27,0.63,14,54,21,6,8,20,24,43,102,0.422,6,16,0.375,16,22,0.727,15,51,20,6,9,12,25
